Local,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,NY_GDP_MKTP_CD,NY_GDP_PCAP_CD,NY_GDP_MKTP_KD_ZG,200343,200144,200345,200151,SP_RUR_TOTL_ZS,200101
TUN,,,38797709924.0,3318.0,1.0,2833.0,1626.0,6231.0,1005.0,31.0,11695.0
TUR,,,754411708203.0,9042.0,0.9,20266.0,13535.0,42349.0,7280.0,24.0,83430.0
TUV,,,47271463.0,4059.0,9.8,4.0,2.0,5.0,1.0,37.0,12.0
TZA,,,63177068175.0,1122.0,5.8,25432.0,11301.0,19752.0,1520.0,66.0,58005.0
UGA,,,34387229486.0,777.0,6.5,20585.0,9226.0,13590.0,869.0,76.0,44270.0
URY,,,56045912952.0,16190.0,0.2,708.0,504.0,1732.0,517.0,5.0,3462.0
USA,,,21427700000000.0,65281.0,2.3,,,,,18.0,
UZB,,,57921286440.0,1725.0,5.6,9498.0,5410.0,16558.0,1516.0,50.0,32982.0
VAT,,,,,,,,,,,1.0
VCT,,,825385185.0,7464.0,0.3,25.0,18.0,57.0,11.0,47.0,111.0
VEN,,,,,,7815.0,4641.0,13890.0,2170.0,12.0,28516.0
VGB,,,,,,5.0,4.0,18.0,3.0,52.0,30.0
VIR,,,,,,20.0,13.0,50.0,21.0,4.0,105.0
VNM,,,261921244843.0,2715.0,7.0,22393.0,13620.0,53163.0,7286.0,63.0,96462.0
VUT,,,917058851.0,3058.0,2.9,116.0,54.0,119.0,11.0,75.0,300.0
WLF,,,,,,2.0,2.0,6.0,2.0,,11.0
WSM,,,850655017.0,4316.0,3.5,75.0,35.0,77.0,10.0,82.0,197.0
YEM,,,,,,11438.0,6059.0,10818.0,846.0,63.0,29162.0
ZAF,,,351431649241.0,6001.0,0.2,16963.0,9819.0,28605.0,3171.0,33.0,58558.0
ZMB,,,23064722446.0,1291.0,1.7,7941.0,3737.0,5805.0,378.0,56.0,17861.0
ZWE,,,21440758800.0,1464.0,-8.1,6174.0,2945.0,5090.0,437.0,68.0,14645.0
ZZA,,,,,,26.0,20.0,96.0,30.0,69.0,172.0
AND,,,3154057987.0,40886.0,1.8,,,,,12.0,
JPN,,,5081769542380.0,40247.0,0.7,,,,,8.0,
LBN,,,53367042272.0,7784.0,-5.6,,,,,11.0,
MCO,,,,,,,,,,,
UKR,,,153781069118.0,3659.0,3.2,,,,,31.0,
