ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
BGD,SDG_0852_SEX_AGE_RT,BA:673,SEX_T,AGE_YTHADULT_YGE15,2017,4.3723,,,,R1:3513
BGD,SDG_0852_SEX_AGE_RT,BA:673,SEX_T,AGE_YTHADULT_Y15-64,2017,4.5476,,,,R1:3513
BGD,SDG_0852_SEX_AGE_RT,BA:673,SEX_T,AGE_YTHADULT_Y15-24,2017,12.7627,,,,R1:3513
BGD,SDG_0852_SEX_AGE_RT,BA:673,SEX_T,AGE_YTHADULT_YGE25,2017,2.5978,,,,R1:3513
BGR,SDG_0852_SEX_AGE_RT,BA:2258,SEX_T,AGE_YTHADULT_YGE15,2015,9.1433,,,,R1:2384
BGR,SDG_0852_SEX_AGE_RT,BA:2258,SEX_T,AGE_YTHADULT_Y15-64,2015,9.2339,,,,R1:2384
BGR,SDG_0852_SEX_AGE_RT,BA:2258,SEX_T,AGE_YTHADULT_Y15-24,2015,21.6457,,,,R1:2384
BGR,SDG_0852_SEX_AGE_RT,BA:2258,SEX_T,AGE_YTHADULT_YGE25,2015,8.4187,,,,R1:2384
BGR,SDG_0852_SEX_AGE_RT,BA:2258,SEX_T,AGE_YTHADULT_YGE15,2016,7.5746,,,,R1:2384
BGR,SDG_0852_SEX_AGE_RT,BA:2258,SEX_T,AGE_YTHADULT_Y15-64,2016,7.6661,,,,R1:2384
BGR,SDG_0852_SEX_AGE_RT,BA:2258,SEX_T,AGE_YTHADULT_Y15-24,2016,17.2221,,,,R1:2384
BGR,SDG_0852_SEX_AGE_RT,BA:2258,SEX_T,AGE_YTHADULT_YGE25,2016,7.0737,,,,R1:2384
BGR,SDG_0852_SEX_AGE_RT,BA:2258,SEX_T,AGE_YTHADULT_YGE15,2017,6.1644,,,,R1:2384
BGR,SDG_0852_SEX_AGE_RT,BA:2258,SEX_T,AGE_YTHADULT_Y15-64,2017,6.2277,,,,R1:2384
BGR,SDG_0852_SEX_AGE_RT,BA:2258,SEX_T,AGE_YTHADULT_Y15-24,2017,12.9259,,,,R1:2384
BGR,SDG_0852_SEX_AGE_RT,BA:2258,SEX_T,AGE_YTHADULT_YGE25,2017,5.8022,,,,R1:2384
BGR,SDG_0852_SEX_AGE_RT,BA:2258,SEX_T,AGE_YTHADULT_YGE15,2018,5.2114,,,,R1:2384
BGR,SDG_0852_SEX_AGE_RT,BA:2258,SEX_T,AGE_YTHADULT_Y15-64,2018,5.2718,,,,R1:2384
BGR,SDG_0852_SEX_AGE_RT,BA:2258,SEX_T,AGE_YTHADULT_Y15-24,2018,12.6778,,,,R1:2384
BGR,SDG_0852_SEX_AGE_RT,BA:2258,SEX_T,AGE_YTHADULT_YGE25,2018,4.8606,,,,R1:2384
BGR,SDG_0852_SEX_AGE_RT,BA:2258,SEX_T,AGE_YTHADULT_YGE15,2019,4.2299,,,,R1:2384
BGR,SDG_0852_SEX_AGE_RT,BA:2258,SEX_T,AGE_YTHADULT_Y15-64,2019,4.2758,,,,R1:2384
BGR,SDG_0852_SEX_AGE_RT,BA:2258,SEX_T,AGE_YTHADULT_Y15-24,2019,8.8982,,,,R1:2384
BGR,SDG_0852_SEX_AGE_RT,BA:2258,SEX_T,AGE_YTHADULT_YGE25,2019,4.0162,,,,R1:2384
BHS,SDG_0852_SEX_AGE_RT,BA:17,SEX_T,AGE_YTHADULT_YGE15,2015,12,,,,S3:16
BHS,SDG_0852_SEX_AGE_RT,BA:17,SEX_T,AGE_YTHADULT_YGE15,2016,12.7,,,,S3:16
BHS,SDG_0852_SEX_AGE_RT,BA:17,SEX_T,AGE_YTHADULT_Y15-24,2016,25.838647075,,,,S3:16
BHS,SDG_0852_SEX_AGE_RT,BA:17,SEX_T,AGE_YTHADULT_YGE25,2016,10.121795228,,,,S3:16
BHS,SDG_0852_SEX_AGE_RT,BA:17,SEX_T,AGE_YTHADULT_YGE15,2017,9.8,,,,S3:16
BHS,SDG_0852_SEX_AGE_RT,BA:17,SEX_T,AGE_YTHADULT_YGE15,2018,10,,,,S3:16
BHS,SDG_0852_SEX_AGE_RT,BA:17,SEX_T,AGE_YTHADULT_Y15-24,2018,24.1,,,,S3:16
BIH,SDG_0852_SEX_AGE_RT,BA:493,SEX_T,AGE_YTHADULT_YGE15,2015,27.6945,,,,R1:3513
BIH,SDG_0852_SEX_AGE_RT,BA:493,SEX_T,AGE_YTHADULT_Y15-64,2015,28.2276,,,,R1:3513
BIH,SDG_0852_SEX_AGE_RT,BA:493,SEX_T,AGE_YTHADULT_Y15-24,2015,62.3179,,,,R1:3513
